,usaf,name,state,lat,lon
0,720511,BRITTON MUNI,SD,45.815,-97.743
1,723062,PINEY ISLAND,NC,35.02,-76.46
2,A00030,CONNELLSVILLE AIRPORT,PA,39.959,-79.657
3,720844,SPANISH PEAKS,CO,37.697,-104.785
4,724916,MARINA MUNI,CA,36.682,-121.762
5,720421,ATWOOD-RAWLNS CO CTY CO AP,KS,39.84,-101.042
6,720837,JOSEPH STATE,OR,45.36,-117.254
7,725244,WILLOUGHBY,OH,41.683,-81.4
8,720708,RANGE B,MS,32.8,-88.833
9,722349,PICAYUNE MUNI,MS,30.487,-89.651
10,720457,WENDELL H FORD ARPT,KY,37.387,-83.262
11,720481,MALDEN FAA AIRPORT,MO,36.6,-89.983
12,720687,HEMET RYAN,CA,33.733,-117.017
13,999999,ALEKNAGIK 1 NNE              ,AK,59.284,-158.615
14,720806,PANOLA CO SHARPE FLD,TX,32.176,-94.299
15,720255,MIAMI MUNI,OK,36.909,-94.888
16,720705,JAMES A RHODES,OH,38.981,-82.578
17,720438,SCOTT CITY MUNI,KS,38.474,-100.885
18,720434,OAKLEY MUNI,KS,39.11,-100.816
19,720759,RAVALLI CO,MT,46.251,-114.125
20,720433,NORTON MUNI,KS,39.85,-99.895
21,727511,WALDRON FLD NOLF,TX,27.635,-97.312
23,720445,CAMPBELLVILLE / TAYLOR CO,KY,37.358,-85.309
24,720781,LYONS RICE CO MUNI,KS,38.343,-98.227
25,725203,MIFFLIN CO,PA,40.677,-77.627
26,720439,ULYSSES,KS,37.604,-101.374
27,747681,STENNIS SPACE CENTER MS,MS,30.372,-89.61
28,747960,AVON PARK GUNNERY RANGE,FL,27.65,-81.33
29,720775,ELLINGTON,TN,35.507,-86.804
30,720329,CABLE,CA,34.112,-117.688
31,720446,SAMUELS FLD / BARDSTOWN,KY,37.814,-85.5
32,720482,OMAR N BRADLEY,MO,39.464,-92.427
33,720487,WARSAW MUNI,MO,38.347,-93.345
35,720897,MONROE WALTON CO,GA,33.782,-83.693
37,720536,GRANBY GRAND CO,CO,40.09,-105.917
38,720477,FLOYD W JONES LEBANON,MO,37.648,-92.652
39,720431,LARNED PAWNEE CO,KS,38.209,-99.086
40,720129,AUSTIN ARPT,NV,39.468,-117.197
41,720168,COVINGTON MUNI,TN,35.583,-89.587
42,721046,LOUISIANA REGIONAL AIRPORT,LA,30.173,-90.941
43,720472,STEVEN A BEAN MUNI,ME,44.992,-70.665
44,720475,NORTHWEST MISSOURI RGNL,MO,40.353,-94.915
45,720581,LINDEN AIRPORT,NJ,40.617,-74.25
46,720478,LAWRENCE SMITH MEM,MO,38.611,-94.342
47,720835,MADELINE ISLAND,WI,46.789,-90.759
49,720451,ADDINGTON FLD,KY,37.686,-85.925
50,720709,PUTNAM COUNTY AIRPORT,OH,41.036,-83.982
52,A00028,SALT LAKE CITY MUNI 2 ARPT   ,UT,40.619,-111.993
53,720171,WILLIAM L WHITEHURST FLD,TN,35.214,-89.043
