,usaf,name,state,lat,lon,min_temp,mean_temp,max_temp,total_snow,total_precipitation,tornado_funnel_cloud,hail,severity_rating
2000,704540,ADAK (NAS)                   ,AK,51.883,-176.65,12.9,41.95741758241758,69.1,0.0,292.41999999999996,0.0,0.0,0.0
682,997380,ADAK ISLAND,AK,51.87,-176.63,18.7,42.01525423728814,64.9,0.0,0.0,0.0,0.0,0.0
738,703926,AKHIOK,AK,56.933,-154.183,8.1,37.40188679245283,71.1,0.0,309.25,0.0,0.0,0.0
547,702686,AKIAK,AK,60.903,-161.231,-20.0,34.42797619047619,75.9,0.0,12201.679999999998,0.0,0.0,0.0
13,999999,ALEKNAGIK 1 NNE              ,AK,59.284,-158.615,-57.1,52.81663803779,122.4,0.0,490294229.5272944,0.0,0.0,0.0
487,998221,ALITAK,AK,56.9,-154.25,9.5,42.58507042253521,64.0,0.0,0.0,0.0,0.0,0.0
2419,702670,ALLEN ARMY AIRFIELD,AK,63.994,-145.721,-38.9,30.66712328767123,84.9,0.0,108.29,0.0,0.0,0.0
854,702758,ALPINE AIRSTRIP,AK,70.344,-150.945,-52.6,14.63939393939394,71.6,0.0,31596.839999999993,0.0,0.0,0.0
806,701718,AMBLER AIRPORT,AK,67.1,-157.85,-43.6,25.84,81.0,0.0,424.92,0.0,0.0,0.0
834,701625,ANAKTUVUK PASS AIRPORT,AK,68.167,-151.767,-43.1,18.017679558011046,75.9,0.0,10.2,0.0,0.0,0.0
645,997381,ANCHORAGE,AK,61.23,-149.88,-6.7,38.72735042735042,73.8,0.0,0.0,0.0,0.0,0.0
2178,703830,ANGOON SEAPLANE BASE,AK,57.499,-134.586,5.0,43.113461538461536,75.0,0.0,144.73000000000005,0.0,0.0,0.0
1897,702320,ANIAK,AK,61.583,-159.533,-40.0,33.37988668555241,80.1,0.0,833.4599999999999,0.0,0.0,0.0
839,702075,ANVIK AIRPORT,AK,62.65,-160.183,-27.9,31.164589235127476,82.0,0.0,21.300000000000008,0.0,0.0,0.0
835,701945,ARCTIC VILLAGE AIRPORT,AK,68.115,-145.579,-47.9,17.89224137931034,81.0,0.0,417.75999999999993,0.0,0.0,0.0
488,998224,ATKA,AK,52.233,-174.167,21.4,42.29691011235955,62.2,0.0,0.0,0.0,0.0,0.0
817,A00032,ATKA AIRPORT,AK,52.22,-174.206,28.9,40.928000000000004,50.0,0.0,100.8,0.0,0.0,0.0
769,702685,ATQASUK EDWARD BURNELL SR. ME,AK,70.467,-157.436,-45.9,15.310714285714287,75.9,0.0,302.6,0.0,0.0,0.0
1842,994700,AUGUSTINE ISLAND,AK,59.38,-153.35,-2.7,40.755616438356164,71.6,0.0,0.0,0.0,0.0,0.0
1889,700860,BARTER ISLAND,AK,70.133,-143.633,-43.1,11.199044585987263,69.1,0.0,12400.219999999998,0.0,0.0,0.0
526,998178,BARTLET COVE,AK,58.45,-135.883,10.6,43.853125000000006,76.5,0.0,0.0,0.0,0.0,0.0
2431,702190,BETHEL AIRPORT,AK,60.785,-161.829,-26.0,32.80602739726027,82.0,0.0,21.740000000000002,0.0,0.0,0.0
2430,701740,BETTLES AIRPORT,AK,66.918,-151.519,-51.0,25.466849315068487,84.9,5199.600000000001,16.03,0.0,0.0,0.0
852,702746,BIRCHWOOD AIRPORT,AK,61.416,-149.507,-16.1,37.9967032967033,80.1,0.0,3835.9599999999996,0.0,0.0,0.0
1847,994680,BLIGH REEF LIGHT,AK,60.84,-146.88,13.8,43.6717808219178,64.9,0.0,0.0,0.0,0.0,0.0
497,701196,BOB BARKER MEMORIAL AIRPORT,AK,66.983,-160.433,-43.1,25.25921787709497,77.0,0.0,221.41999999999996,0.0,0.0,0.0
130,702700,BRYANT ARMY AIRFIELD HELIPORT,AK,61.266,-149.653,-25.6,36.048169014084515,81.3,0.0,6316.360000000001,0.0,0.0,0.0
826,700632,BUCKLAND AIRPORT,AK,65.983,-161.133,-45.9,25.82598870056497,78.8,0.0,607.7599999999999,0.0,0.0,0.0
1724,701995,CAPE DARBY REMOT COM OUTLT,AK,64.55,-163.007,-32.1,29.773684210526312,75.9,0.0,216.46000000000006,0.0,0.0,0.0
603,997788,CAPE DECISION,AK,56.0,-134.133,15.8,45.87103064066852,72.1,0.0,0.0,0.0,0.0,0.0
821,703050,CAPE HEWENHAM LRRS AIRPORT,AK,58.65,-162.067,-9.6,36.81841359773371,70.9,38.6,4676.46,0.0,0.0,0.0
828,701040,CAPE LISBURNE LRRS AIRPORT,AK,68.867,-166.133,-31.0,22.151032448377578,63.1,211.6,8609.88,0.0,0.0,0.0
840,702120,CAPE ROMANZOF LRRS ARPT,AK,61.783,-166.033,-13.4,31.199178082191782,69.8,83.7,11785.829999999996,0.0,0.0,0.0
610,997804,CAPE SPENCER,AK,58.2,-136.633,12.9,43.28873626373626,72.3,0.0,0.0,0.0,0.0,0.0
430,701338,CHEVAK AIRPORT,AK,61.533,-165.583,-22.0,30.295072463768115,78.1,0.0,6399.359999999999,0.0,0.0,0.0
862,703333,CHIGNIK AIRPORT,AK,56.311,-158.373,21.9,45.81284403669724,69.1,0.0,28197.179999999997,0.0,0.0,0.0
848,702606,CHULITNA,AK,62.826,-149.907,-7.6,24.352830188679246,55.4,14721.2,8199.179999999998,0.0,0.0,0.0
2490,703160,COLD BAY AIRPORT,AK,55.221,-162.732,3.9,40.35506849315068,69.1,0.0,140.96,0.0,0.0,0.0
333,998425,CORDOVA,AK,60.557,-145.755,12.9,42.754366197183096,68.0,0.0,0.0,0.0,0.0,0.0
2168,700637,DEADHORSE AIRPORT,AK,70.192,-148.477,-54.0,14.278021978021977,75.0,0.0,3805.129999999999,0.0,0.0,0.0
2082,701333,DEERING AIRPORT,AK,66.069,-162.764,-42.0,30.372614107883816,72.0,0.0,13.479999999999999,0.0,0.0,0.0
860,703210,DILLINGHAM AIRPORT,AK,59.05,-158.517,-25.6,36.65945205479452,79.0,0.0,251.5999999999999,0.0,0.0,0.0
481,704890,DUTCH HARBOR AIRPORT,AK,53.895,-166.543,15.1,42.40164383561645,73.9,47.8,20440.5,0.0,0.0,0.0
836,701975,EAGLE AIRPORT,AK,64.777,-141.148,-59.1,26.53659217877095,88.0,0.0,22.98,0.0,0.0,0.0
1727,704140,EARECKSON AIR STATION AIRPORT,AK,52.717,174.1,20.3,41.16552706552706,58.3,44.0,2892.7000000000007,0.0,12.0,12.0
863,703334,EGEGIK AIRPORT,AK,58.185,-157.386,-11.0,36.48164251207729,73.9,0.0,612.4600000000002,0.0,0.0,0.0
802,702650,EIELSON AFB AIRPORT,AK,64.683,-147.083,-49.2,27.40931506849315,83.8,8622.6,820.3199999999997,0.0,2.0,2.0
532,997789,ELDRED ROCK,AK,58.967,-135.217,8.2,43.816208791208794,79.5,0.0,0.0,0.0,0.0,0.0
499,998206,ELFIN COVE,AK,58.183,-136.333,12.6,43.32203389830509,76.1,0.0,0.0,0.0,0.0,0.0
867,703817,ELFIN COVE SEAPLANE BASE,AK,58.192,-136.344,24.8,49.38691983122362,75.2,316.0,1944.62,0.0,0.0,0.0
