,min_temp,min_temp,min_temp,min_temp,mean_temp,mean_temp,mean_temp,mean_temp,max_temp,max_temp,max_temp,max_temp
,min,max,mean,std,min,max,mean,std,min,max,mean,std
state,,,,,,,,,,,,
AK,-59.1,53.6,-28.521727019498606,26.10553733771125,11.199044585987261,55.8,39.17565730436602,11.266494146449025,50.0,122.4,87.95013927576602,22.01016001385039
AL,-57.1,46.9,-11.595238095238095,35.01314967527414,52.81663803779013,75.60893371757923,60.5884072495006,6.552809672399291,81.3,122.4,107.44571428571427,11.62751237178633
AR,-57.1,19.0,-7.36231884057971,22.61001926170106,52.81663803779013,66.6498630136986,59.45913342479084,3.6810812887112005,98.1,122.4,106.37971014492753,7.470482693872888
AZ,-57.1,37.0,-7.793478260869566,38.67472640490205,47.27774725274726,77.73119777158773,60.660649590572795,10.172530767125854,78.1,122.4,111.84565217391304,10.837059057721557
CA,-57.1,45.5,3.156151419558359,39.75941336293007,34.04761904761904,77.63232876712328,58.59579064278197,6.618849976365898,57.2,122.4,109.35236593059936,12.200099958808195
CO,-57.1,14.9,-25.450757575757574,20.28499048844624,25.303641456582636,65.71825396825396,47.57118168184634,6.948986147263286,60.8,122.4,101.20530303030303,16.144425996212018
CT,-57.1,9.7,-12.361538461538462,25.30062571436646,50.86356164383562,55.358082191780824,53.05452992053134,1.136337667341589,84.4,122.4,100.59615384615384,12.49702303012139
DC,-57.1,9.3,-23.9,46.95189027078676,52.81663803779013,59.175000000000004,55.99581901889506,4.496040860717208,95.7,122.4,109.05000000000001,18.879751057680828
DE,-57.1,12.4,1.8099999999999998,20.757887389830614,52.81663803779013,62.9908713692946,57.286229553506665,2.516909728270473,93.2,122.4,98.81,8.39344320817678
FL,-57.1,51.8,7.7320197044334975,38.7475481097122,52.81663803779013,80.36148867313916,68.0272897752775,9.422267103100092,89.1,122.4,103.59507389162562,11.411548578517282
GA,-57.1,26.6,0.23129770992366375,28.44058606982815,52.81663803779013,70.03774104683197,62.223976994495615,5.232951339817525,93.2,122.4,104.76717557251908,9.031895982470566
HI,-57.1,66.9,11.544736842105262,56.67159399686137,52.81663803779013,78.79808219178081,65.77395343629176,11.480476573388943,81.7,122.4,102.40789473684211,16.901341408125738
IA,-57.1,-7.6,-18.962711864406778,13.38800200594324,33.56285714285713,56.298648648648644,48.7477010572238,3.2663247794862285,95.0,122.4,100.35254237288136,7.729947444723624
ID,-57.1,3.0,-23.047916666666666,23.098088615620025,35.60619718309859,53.401095890410964,47.92812073376381,4.8640760607528435,86.0,122.4,106.17916666666667,11.50165498421365
IL,-57.1,4.3,-15.736220472440944,17.559037239450323,46.541358024691355,59.351655629139074,52.71523273317293,2.8516075176205486,95.0,122.4,101.36614173228347,8.671346909093648
IN,-57.1,-2.4,-15.828333333333335,17.581906065724354,46.35544871794872,57.0772602739726,51.947705103991595,2.4132873121880034,93.2,122.4,100.86333333333333,9.3106639546724
KS,-57.1,-2.9,-19.951764705882354,22.24063533139235,52.0467787114846,59.82478873239437,55.34935813578612,2.1632910084961425,99.5,122.4,110.42235294117647,7.47741641895923
KY,-57.1,10.9,-13.31132075471698,23.058101032436756,52.81663803779013,59.919780219780215,55.96231711672866,2.0271924378864985,92.1,122.4,102.60754716981131,10.531926718620205
LA,-57.1,55.4,1.7901960784313722,36.96856173016224,52.81663803779013,78.9784,64.9881746235902,8.017533348816347,89.6,122.4,104.80098039215687,11.167797544709142
MA,-57.1,13.6,-12.530357142857143,23.330790577283036,47.452617079889805,55.685041551246535,52.46651884175842,1.4887716325514742,79.7,122.4,100.32678571428572,11.651851059676455
MD,-57.1,15.3,-4.942105263157895,26.008988469431245,49.75296803652969,60.89315068493149,55.69092530765621,2.6326601153570044,88.0,122.4,100.71754385964911,11.076763368276495
ME,-57.1,28.4,-27.36603773584906,21.879775904106825,38.82848297213622,58.852602739726024,48.01455494404412,4.281008708004904,75.7,132.8,101.09811320754717,15.200739994209256
MI,-57.1,20.8,-16.75026178010471,19.445599892887557,23.702380952380953,58.44477611940299,47.40647047931478,4.389043659541708,66.9,122.4,97.11361256544502,12.242940953728102
MN,-57.1,-14.8,-28.098941798941798,10.334547460565446,21.86595744680851,52.81663803779013,42.59592051302009,4.324882013631491,73.4,122.4,98.4910052910053,7.508355171958087
