,state,name,min_temp
0,AK,EAGLE AIRPORT,-59.1
1,AK,NORTHWAY AIRPORT,-59.1
2,AK,PUNTILLA LAKE,-57.1
3,AK,PRUDHOE BAY,-57.1
4,AK,CAPE DECISION,-57.1
5,AK,CAPE SPENCER,-57.1
6,AK,GUSTAVUS,-57.1
7,AK,HAINES,-57.1
8,AK,KETCHIKAN TONGASS,-57.1
9,AK,PETERSBURG,-57.1
10,AK,SITKA JAPONSKI AP,-57.1
11,AK,MIDDLETON ISLAND AUT,-57.1
12,AK,ILIAMNA ARPT,-57.1
13,AK,DRIFTWOOD BAY,-57.1
14,AK,ADAK DAVIS AFB,-57.1
15,AK,ASI TANAGA ISLAND NS,-57.1
16,AK,LADD AAB,-57.1
17,AK,FORT YUKON,-57.1
18,AK,BOUNDARY,-57.1
19,AK,CAPE HINCHINBROOK,-57.1
20,AK,CENTRAL NO 2                 ,-57.1
21,AK,NENANA MUNICIPAL AP,-57.1
22,AK,NORTH DUTCH ISLAND C,-57.1
23,AK,YAKATAGA AP,-57.1
24,AK,ELMENDORF 2 AFB              ,-57.1
25,AK,GERSTLE RIVER,-57.1
26,AK,MINCHUMINA,-57.1
27,AK,SHUNGNAK CAA,-57.1
28,AK,SKWENTNA,-57.1
29,AK,ANIAK AIRPORT,-57.1
30,AK,BETTLES CAA,-57.1
31,AK,FAREWELL FAA AP,-57.1
32,AK,KENAI MUNICIPAL AP,-57.1
33,AK,TANANA RALPH M CALHOUN MEM AP,-57.1
34,AK,FIVE MILE CAMP,-57.1
35,AK,WALES,-57.1
36,AK,CAPE BEAUFORT LIZ A,-57.1
37,AK,GAMBELL,-57.1
38,AK,MCINTYRE POW C,-57.1
39,AK,BARROW POINT BARROW,-57.1
40,AK,PEARD BAY LIZ C,-57.1
41,AK,KOGRU RIVER POW B,-57.1
42,AK,UTQIAĠVIK FORMERLY BARROW 4 E,-57.1
43,AK,ICY CAPE LIZ B,-57.1
