,state,name,min_temp,mean_temp,max_temp
0,AK,GAMBELL (AWOS)               ,-5.1,30.590909090909086,55.9
1,AK,GAMBELL AIRPORT,-5.1,30.590909090909086,55.9
2,AK,KOYUK AIRPORT,-22.0,31.764779874213836,81.0
3,AK,PUNTILLA,-27.4,32.636119402985074,77.0
4,AK,PUNTILLA LAKE,-57.1,52.72701699498899,122.4
5,AK,CHULITNA AIRPORT,-7.6,24.35283018867925,55.4
6,AK,CHULITNA,-7.6,24.35283018867925,55.4
7,AK,RUBY AIRPORT,-32.1,30.733141210374644,81.0
8,AK,MOUNTAIN VILLAGE,-22.0,21.403649635036494,68.0
9,AK,MOUNTAIN VILLAGE AIRPORT,-22.0,21.403649635036494,68.0
10,AK,CHIGNIK AIRPORT,21.9,45.81284403669726,69.1
11,AK,PORT ALSWORTH AIR,-22.0,42.212132352941175,82.4
12,AK,PORT ALSWORTH AIRPORT,-22.0,42.212132352941175,82.4
13,AK,TOGIAK,-29.9,34.48712871287129,78.1
14,AK,TOGIAK AIRPORT,-29.9,34.48712871287129,78.1
15,AK,QUINHAGAK AIRPORT,-32.8,35.676399999999994,80.1
16,AK,ELFIN COVE SEAPLANE,24.8,49.38691983122363,75.2
17,AK,ELFIN COVE SEAPLANE BASE,24.8,49.38691983122363,75.2
18,TX,BROOKS CO,23.4,71.70231213872833,104.9
19,TX,BROOKS COUNTY AIRPORT,23.4,71.70231213872833,104.9
20,IA,PERRY MUNI,-13.0,46.80032051282051,102.4
21,IA,PERRY MUNICIPAL AIRPORT,-13.0,46.80032051282051,102.4
22,LA,ST LANDRY PARISH AIRPORT AHAR,17.2,66.48324175824175,98.2
23,IN,KNOX/STARKE CO,-9.4,47.35242424242425,96.8
24,IN,STARKE COUNTY AIRPORT,-9.4,47.35242424242425,96.8
25,WY,FRANCIS E WARREN AFB HELIPORT,-23.4,46.16360759493672,98.6
26,TX,OZONA MUNICIPAL AIRPORT,12.2,63.826582278481006,105.8
27,NE,DELTA (KIMBALL)              ,-22.5,46.639130434782615,101.5
28,NE,KILO (DIX)                   ,-11.7,32.08227848101266,80.8
29,MT,OSCAR (ROY)                  ,-22.5,35.69621848739495,104.5
30,ND,BRAVO (VELVA)                ,-22.7,26.206578947368428,90.5
31,ND,DELTA (MAX)                  ,-17.3,49.53961538461539,97.2
