,usaf,name,state,lat,lon
0,690014,C STN  WHITE SANDS,NM,32.35,-106.367
1,690020,JOLON HUNTER LIGGETT MIL RES,CA,36.0,-121.233
3,690070,FRITZSCHE AAF,CA,36.683,-121.767
4,690110,SELFRIDGE ANGB/TRAIN,MI,42.608,-82.835
5,690140,EL TORO MCAS,CA,33.667,-117.733
6,690150,TWENTYNINE PALMS,CA,34.3,-116.167
7,690174,INDIAN SPRINGS RANGE,NV,36.533,-115.567
8,690190,ABILENE DYESS AFB,TX,32.433,-99.85
9,690190,DYESS AFB/ABILENE,TX,32.417,-99.85
10,690230,WHIDBEY ISLAND NAS,WA,48.35,-122.667
11,690240,PACIFIC BEACH,WA,47.217,-124.2
12,690260,CHEBOYGAN,MI,45.65,-84.467
13,690310,YUMA PROVING GROUND,AZ,32.833,-114.4
14,690320,BLAINE HARBOR MUNI,WA,48.983,-122.733
15,690330,HOOD CANAL BRIDGE,OR,45.667,-121.533
16,690500,FORT CHAFFEE,AR,35.167,-94.2
17,690584,LZ BULL / EXERCISE,CA,33.067,-115.067
18,691164,REDSTONE ARSENAL,AL,34.683,-86.683
19,691324,FORT BRAGG / TEST,NC,35.15,-78.9
20,691414,SPEED BAG AIRFIELD,CA,33.267,-115.417
21,691484,FAIRCHILD AFB / EXERCISE,WA,47.617,-117.667
22,691804,CAMP BLANDING,FL,29.967,-81.983
23,692364,FALLON NAS,NV,39.417,-118.7
24,692494,SUPERIOR VALLEY G R,CA,35.333,-117.1
25,692534,FORT CAMPBELL / TEST,KY,36.667,87.5
26,692584,CREECH AFB TMOS-P,NV,36.583,-115.667
27,692644,MUSCATATUCK TRNG CTR,IN,39.05,-85.617
28,692694,FOB MIAMI NTC/EXERCI,CA,35.283,-116.35
29,692704,MPRC-FT STEWART,GA,32.033,-81.667
30,692784,KING SALMON,AK,58.667,-156.65
31,694300,EAGLE RANGE       &          ,UT,41.05,-113.067
32,694604,YUKON TEST AREA,AK,64.721,-146.529
33,695414,RED PASS LAKE / NTC,CA,35.267,-116.367
34,696334,ORO GRANDE - EXERCISE,NM,32.417,-105.993
35,696454,AUX 2 / EXERCISE             ,AZ,32.533,-114.517
36,696464,TACTS AIRFIELD / EXERCISE,AZ,32.5,-114.15
37,697534,FORT IRWIN,CA,35.283,-116.617
38,697564,STOVAL AIRFIELD / EXERCISE,AZ,32.733,-113.633
39,698114,METMFR 29 PALMS              ,CA,34.3,-116.15
40,698414,319 MISSILE SQ               ,CO,40.5,-103.833
41,699604,YUMA MCAS,AZ,32.65,-114.617
42,700271,BARROW POINT BARROW,AK,71.333,-156.65
43,700300,WAINWRIGHT AIRPORT,AK,70.639,-159.995
44,700300,WAINWRIGHT (DEW)             ,AK,70.617,-159.85
45,700365,SAGWON,AK,69.367,-148.7
46,700450,LONELY,AK,70.917,-153.25
47,700630,OLIKTOK POW 2                ,AK,70.5,-149.883
48,700631,ATKA AIRPORT,AK,52.22,-174.206
49,700635,GALBRAITH LAKE AIRPORT,AK,68.479,-149.49
50,700635,GALBRAITH LAKE,AK,68.483,-149.483
51,700636,PRUDHOE BAY,AK,70.25,-148.333
52,700639,HAPPY VALLEY,AK,69.167,-148.817
53,700863,BARTER ISLAND LRRS,AK,70.134,-143.577
54,700867,FRANKLIN BLUFFS,AK,69.717,-148.683
55,700868,ATIGUN,AK,68.183,-149.417
56,700869,CHANDALAR SHELF,AK,68.067,-149.583
