,state,name,min_temp,mean_temp,max_temp
0,AK,GAMBELL (AWOS)               ,-5.1,30.590909090909086,55.9
1,AK,GAMBELL AIRPORT,-5.1,30.590909090909086,55.9
2,AK,KOYUK AIRPORT,-22.0,31.76477987421384,81.0
3,AK,PUNTILLA,-27.4,32.63611940298508,77.0
4,AK,PUNTILLA LAKE,-57.1,52.72701699498898,122.4
5,AK,CHULITNA AIRPORT,-7.6,24.35283018867925,55.4
6,AK,CHULITNA,-7.6,24.35283018867925,55.4
7,AK,CHIGNIK AIRPORT,21.9,45.81284403669724,69.1
8,AK,PORT ALSWORTH AIR,-22.0,42.21213235294118,82.4
9,AK,PORT ALSWORTH AIRPORT,-22.0,42.21213235294118,82.4
10,AK,ELFIN COVE SEAPLANE,24.8,49.38691983122362,75.2
11,AK,ELFIN COVE SEAPLANE BASE,24.8,49.38691983122362,75.2
12,AR,DEXTER B FLORENCE MEM FLD,10.0,58.387867647058826,98.1
13,AR,DEXTER B FLORENCE MEMORIAL FI,10.0,58.387867647058826,98.1
14,IA,PERRY MUNI,-13.0,46.80032051282051,102.4
15,IA,PERRY MUNICIPAL AIRPORT,-13.0,46.80032051282051,102.4
16,VA,HAMPTON ROADS EXECUTIVE AIRPO,6.1,58.141642228739,99.0
17,NV,CARSON AIRPORT,10.4,52.85944444444444,102.2
18,ND,CHARLIE (RUSO)               ,-28.7,38.36522988505746,97.2
19,LA,SOUTH LAFOURCHE AIRPORT,25.3,70.5216346153846,96.4
20,LA,SOUTH LAFORCHE,25.3,70.5216346153846,96.4
21,,PENSACOLA  FL,21.9,69.9479411764706,99.0
22,FL,PENSACOLA REGIONAL AIRPORT,19.9,70.08739726027396,100.9
23,FL,WHITING FIELD NAVAL AIR STATI,18.0,66.98402877697842,100.9
24,CA,BARSTOW-DAGGETT AIRPORT,23.0,68.96088154269972,111.9
25,IA,CLINTON MUNI,-14.1,48.41263736263736,97.0
26,IA,CLINTON MUNICIPAL AIRPORT,-14.1,48.41263736263736,97.0
27,UT,EAGLE RANGE,10.0,48.46111111111111,93.0
28,CA,EUREKA,27.0,51.626888217522655,75.9
29,CA,WOODLEY ISLAND (NEW 10/94)   ,27.0,51.626888217522655,75.9
30,WY,CODY MUNI (AWOS)             ,-32.1,45.790633608815426,98.1
