,usaf,name,state,lat,lon,elev,min_temp,mean_temp,max_temp,total_snow,total_precipitation,high_prcp_days,tornado_funnel_cloud,hail,severity_rating
2000,704540,ADAK (NAS)                   ,AK,51.883,-176.65,+0005.0,12.9,41.95741758241758,69.1,0.0,46.22,0.0,0.0,0.0,0.0
682,997380,ADAK ISLAND,AK,51.87,-176.63,+0007.0,18.7,42.01525423728814,64.9,0.0,0.0,0.0,0.0,0.0,0.0
738,703926,AKHIOK,AK,56.933,-154.183,+0013.0,8.1,37.40188679245283,71.1,0.0,9.28,0.0,0.0,0.0,0.0
547,702686,AKIAK,AK,60.903,-161.231,+0009.1,-20.0,34.42797619047619,75.9,0.0,1.45,0.0,0.0,0.0,0.0
13,999999,ALEKNAGIK 1 NNE              ,AK,59.284,-158.615,+0024.4,-57.1,52.81663803779081,122.4,0.0,809.88,8.0,0.0,0.0,8.0
487,998221,ALITAK,AK,56.9,-154.25,+0000.0,9.5,42.58507042253521,64.0,0.0,0.0,0.0,0.0,0.0,0.0
2419,702670,ALLEN ARMY AIRFIELD,AK,63.994,-145.721,+0389.2,-38.9,30.667123287671227,84.9,0.0,8.3,0.0,0.0,0.0,0.0
854,702758,ALPINE AIRSTRIP,AK,70.344,-150.945,+0005.5,-52.6,14.639393939393939,71.6,0.0,0.0,0.0,0.0,0.0,0.0
806,701718,AMBLER AIRPORT,AK,67.1,-157.85,+0088.1,-43.6,25.84,81.0,0.0,12.48,0.0,0.0,0.0,0.0
834,701625,ANAKTUVUK PASS AIRPORT,AK,68.167,-151.767,+0640.1,-43.1,18.017679558011046,75.9,0.0,5.1000000000000005,0.0,0.0,0.0,0.0
645,997381,ANCHORAGE,AK,61.23,-149.88,+0003.0,-6.7,38.72735042735043,73.8,0.0,0.0,0.0,0.0,0.0,0.0
2178,703830,ANGOON SEAPLANE BASE,AK,57.499,-134.586,+0008.5,5.0,43.113461538461536,75.0,0.0,44.74,0.0,0.0,0.0,0.0
1897,702320,ANIAK,AK,61.583,-159.533,+0026.0,-40.0,33.379886685552414,80.1,0.0,16.77,0.0,0.0,0.0,0.0
839,702075,ANVIK AIRPORT,AK,62.65,-160.183,+0026.8,-27.9,31.16458923512748,82.0,0.0,10.65,0.0,0.0,0.0,0.0
835,701945,ARCTIC VILLAGE AIRPORT,AK,68.115,-145.579,+0637.6,-47.9,17.892241379310345,81.0,0.0,8.9,0.0,0.0,0.0,0.0
488,998224,ATKA,AK,52.233,-174.167,+0000.0,21.4,42.29691011235955,62.2,0.0,0.0,0.0,0.0,0.0,0.0
817,A00032,ATKA AIRPORT,AK,52.22,-174.206,+0017.1,28.9,40.928,50.0,0.0,0.81,0.0,0.0,0.0,0.0
769,702685,ATQASUK EDWARD BURNELL SR. ME,AK,70.467,-157.436,+0029.3,-45.9,15.310714285714287,75.9,0.0,2.63,0.0,0.0,0.0,0.0
1842,994700,AUGUSTINE ISLAND,AK,59.38,-153.35,+0009.1,-2.7,40.755616438356164,71.6,0.0,0.0,0.0,0.0,0.0,0.0
1889,700860,BARTER ISLAND,AK,70.133,-143.633,+0015.0,-43.1,11.19904458598726,69.1,0.0,0.73,0.0,0.0,0.0,0.0
526,998178,BARTLET COVE,AK,58.45,-135.883,+0005.0,10.6,43.853125,76.5,0.0,0.0,0.0,0.0,0.0,0.0
2431,702190,BETHEL AIRPORT,AK,60.785,-161.829,+0031.1,-26.0,32.80602739726027,82.0,0.0,21.740000000000002,0.0,0.0,0.0,0.0
2430,701740,BETTLES AIRPORT,AK,66.918,-151.519,+0193.2,-51.0,25.46684931506849,84.9,5199.6,16.03,0.0,0.0,0.0,0.0
852,702746,BIRCHWOOD AIRPORT,AK,61.416,-149.507,+0029.3,-16.1,37.99670329670329,80.1,0.0,18.17,0.0,0.0,0.0,0.0
1847,994680,BLIGH REEF LIGHT,AK,60.84,-146.88,+0000.0,13.8,43.67178082191781,64.9,0.0,0.0,0.0,0.0,0.0,0.0
497,701196,BOB BARKER MEMORIAL AIRPORT,AK,66.983,-160.433,+0051.2,-43.1,25.259217877094976,77.0,0.0,10.72,0.0,0.0,0.0,0.0
130,702700,BRYANT ARMY AIRFIELD HELIPORT,AK,61.266,-149.653,+0118.3,-25.6,36.04816901408451,81.3,0.0,16.990000000000002,0.0,0.0,0.0,0.0
826,700632,BUCKLAND AIRPORT,AK,65.983,-161.133,+0009.1,-45.9,25.825988700564967,78.8,0.0,3.91,0.0,0.0,0.0,0.0
1724,701995,CAPE DARBY REMOT COM OUTLT,AK,64.55,-163.007,+0007.6,-32.1,29.773684210526316,75.9,0.0,8.24,0.0,0.0,0.0,0.0
603,997788,CAPE DECISION,AK,56.0,-134.133,+0017.0,15.8,45.87103064066852,72.1,0.0,0.0,0.0,0.0,0.0,0.0
